# x,y  (from matlab_pure_pursuit/path.mat)
0.000000,0.000000
0.027650,0.000000
0.041475,0.000000
0.082949,-0.017493
0.110599,-0.017493
0.138249,-0.034985
0.165899,-0.034985
0.193548,-0.034985
0.221198,-0.034985
0.235023,-0.034985
0.262673,-0.052478
0.290323,-0.052478
0.304147,-0.052478
0.331797,-0.052478
0.345622,-0.052478
0.359447,-0.052478
0.373272,-0.052478
0.387097,-0.052478
0.400922,-0.052478
0.428571,-0.052478
0.442396,-0.052478
0.456221,-0.052478
0.470046,-0.034985
0.483871,-0.034985
0.497696,-0.017493
0.525346,-0.017493
0.552995,0.000000
0.566820,0.017493
0.594470,0.034985
0.608295,0.034985
0.622120,0.052478
0.649770,0.052478
0.663594,0.069971
0.691244,0.087464
0.705069,0.104956
0.718894,0.122449
0.732719,0.139942
0.746544,0.174927
0.746544,0.192420
0.774194,0.227405
0.788018,0.262391
0.788018,0.279883
0.801843,0.297376
0.801843,0.314869
0.815668,0.349854
0.815668,0.367347
0.815668,0.384840
0.829493,0.402332
0.829493,0.419825
0.829493,0.437318
0.829493,0.454810
0.829493,0.489796
0.829493,0.524781
0.829493,0.577259
0.829493,0.612245
0.829493,0.629738
0.829493,0.664723
0.829493,0.682216
0.829493,0.699708
0.815668,0.717201
0.801843,0.734694
0.788018,0.787172
0.774194,0.804665
0.760369,0.822157
0.732719,0.839650
0.705069,0.874636
0.677419,0.892128
0.649770,0.927114
0.580645,0.962099
0.552995,0.979592
0.511521,0.997085
0.470046,1.014577
0.428571,1.014577
0.400922,1.032070
0.373272,1.032070
0.345622,1.049563
0.262673,1.049563
0.248848,1.049563
0.207373,1.067055
0.165899,1.067055
0.152074,1.067055
0.124424,1.067055
0.096774,1.067055
0.055300,1.067055
0.041475,1.067055
0.013825,1.067055
-0.013825,1.067055
-0.027650,1.067055
-0.055300,1.067055
-0.082949,1.067055
-0.110599,1.067055
-0.124424,1.049563
-0.152074,1.049563
-0.179724,1.049563
-0.207373,1.049563
-0.235023,1.049563
-0.248848,1.049563
-0.290323,1.049563
-0.317972,1.049563
-0.331797,1.049563
-0.345622,1.049563
-0.359447,1.049563
-0.387097,1.067055
-0.400922,1.067055
-0.400922,1.084548
-0.414747,1.102041
-0.428571,1.119534
-0.442396,1.119534
-0.456221,1.137026
-0.456221,1.154519
-0.456221,1.172012
-0.470046,1.189504
-0.470046,1.224490
-0.470046,1.259475
-0.470046,1.276968
-0.483871,1.329446
-0.483871,1.346939
-0.483871,1.381924
-0.483871,1.399417
-0.483871,1.434402
-0.483871,1.469388
-0.483871,1.486880
-0.483871,1.521866
-0.483871,1.556851
-0.483871,1.574344
-0.470046,1.591837
-0.470046,1.626822
-0.456221,1.644315
-0.456221,1.661808
-0.442396,1.661808
-0.428571,1.696793
-0.400922,1.731778
-0.387097,1.749271
-0.359447,1.801749
-0.331797,1.819242
-0.304147,1.854227
-0.248848,1.906706
-0.207373,1.941691
-0.165899,1.976676
-0.152074,1.994169
-0.069124,2.046647
-0.013825,2.099125
0.013825,2.116618
0.041475,2.116618
0.055300,2.134111
0.096774,2.151603
0.138249,2.169096
0.165899,2.186589
0.207373,2.186589
0.248848,2.204082
0.304147,2.221574
0.359447,2.221574
0.414747,2.239067
0.470046,2.239067
0.594470,2.239067
0.635945,2.239067
0.663594,2.239067
0.732719,2.239067
0.746544,2.239067
0.788018,2.239067
0.829493,2.221574
0.884793,2.204082
0.912442,2.204082
0.953917,2.169096
0.995392,2.151603
1.036866,2.134111
1.119816,2.081633
1.147465,2.064140
1.188940,2.029155
1.244240,1.976676
1.313364,1.906706
1.354839,1.854227
1.396313,1.819242
1.423963,1.784257
1.465438,1.731778
1.493088,1.679300
1.520737,1.644315
1.548387,1.591837
1.576037,1.539359
1.589862,1.521866
1.617512,1.451895
1.645161,1.381924
1.645161,1.329446
1.658986,1.294461
1.686636,1.224490
1.686636,1.172012
1.700461,1.119534
1.700461,1.067055
1.714286,1.014577
1.714286,0.944606
1.728111,0.892128
1.728111,0.822157
1.728111,0.769679
1.728111,0.699708
1.728111,0.577259
1.714286,0.507289
1.686636,0.454810
1.672811,0.384840
1.645161,0.332362
1.617512,0.262391
1.589862,0.192420
1.548387,0.139942
1.520737,0.069971
1.479263,0.000000
1.451613,-0.052478
1.410138,-0.104956
1.368664,-0.157434
1.327189,-0.209913
1.216590,-0.314869
1.147465,-0.367347
1.092166,-0.402332
1.050691,-0.454810
1.023041,-0.472303
0.967742,-0.524781
0.940092,-0.559767
0.912442,-0.594752
0.884793,-0.629738
0.857143,-0.647230
0.843318,-0.682216
0.829493,-0.717201
0.829493,-0.734694
0.815668,-0.769679
0.801843,-0.804665
0.801843,-0.839650
0.801843,-0.857143
0.801843,-0.944606
0.801843,-0.962099
0.801843,-0.997085
0.801843,-1.032070
0.815668,-1.084548
0.843318,-1.137026
0.857143,-1.154519
0.884793,-1.189504
0.898618,-1.224490
0.926267,-1.259475
0.953917,-1.276968
0.995392,-1.311953
1.036866,-1.346939
1.064516,-1.381924
1.092166,-1.381924
1.133641,-1.399417
1.161290,-1.434402
1.188940,-1.434402
1.202765,-1.451895
1.216590,-1.451895
