# x,y  (from matlab_pure_pursuit/path2.mat)
0.000000,0.000000
0.036866,0.000000
0.092166,0.000000
0.138249,0.000000
0.175115,0.000000
0.202765,0.000000
0.221198,0.000000
0.248848,0.000000
0.267281,0.000000
0.285714,0.000000
0.313364,0.000000
0.341014,0.000000
0.359447,0.000000
0.377880,0.000000
0.405530,0.000000
0.433180,0.000000
0.460829,0.000000
0.479263,0.000000
0.488479,0.011679
0.497696,0.023358
0.506912,0.035036
0.516129,0.058394
0.525346,0.081752
0.543779,0.128467
0.562212,0.151825
0.571429,0.175182
0.580645,0.186861
0.599078,0.210219
0.608295,0.221898
0.617512,0.245255
0.626728,0.256934
0.645161,0.268613
0.663594,0.280292
0.682028,0.291971
0.700461,0.303650
0.728111,0.315328
0.755760,0.327007
0.801843,0.350365
0.829493,0.350365
0.857143,0.350365
0.894009,0.350365
0.921659,0.350365
0.949309,0.350365
0.976959,0.350365
1.032258,0.327007
1.069124,0.303650
1.105991,0.280292
1.133641,0.256934
1.161290,0.233577
1.198157,0.198540
1.225806,0.151825
1.253456,0.105109
1.281106,0.035036
1.308756,0.000000
1.317972,-0.046715
1.336406,-0.070073
1.345622,-0.105109
1.364055,-0.140146
1.373272,-0.186861
1.391705,-0.256934
1.400922,-0.303650
1.410138,-0.373723
1.419355,-0.420438
1.428571,-0.455474
1.428571,-0.490511
1.428571,-0.525547
1.428571,-0.583942
1.419355,-0.630657
1.410138,-0.665693
1.400922,-0.689051
1.382488,-0.724088
1.373272,-0.759124
1.345622,-0.794161
1.317972,-0.840876
1.290323,-0.899270
1.253456,-0.934307
1.216590,-0.981022
1.188940,-1.016058
1.142857,-1.039416
1.115207,-1.051095
1.069124,-1.062774
1.023041,-1.062774
0.958525,-1.062774
0.884793,-1.062774
0.847926,-1.051095
0.820276,-1.039416
0.792627,-1.016058
0.764977,-0.981022
0.737327,-0.957664
0.700461,-0.899270
0.663594,-0.864234
0.617512,-0.805839
0.580645,-0.759124
0.543779,-0.712409
0.506912,-0.677372
0.451613,-0.630657
0.423963,-0.607299
0.396313,-0.607299
0.368664,-0.595620
0.341014,-0.595620
0.322581,-0.595620
0.294931,-0.607299
0.276498,-0.618978
0.248848,-0.642336
0.221198,-0.677372
0.211982,-0.700730
0.202765,-0.712409
0.193548,-0.735766
0.193548,-0.747445
0.193548,-0.759124
0.193548,-0.770803
0.193548,-0.782482
0.193548,-0.805839
0.193548,-0.852555
0.202765,-0.887591
0.211982,-0.910949
0.221198,-0.945985
0.239631,-0.981022
0.276498,-1.039416
0.304147,-1.109489
0.341014,-1.167883
0.377880,-1.237956
0.414747,-1.284672
0.442396,-1.331387
